PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,GeoNet_M,GeoNet_depth,GeoNet_depth_unc,Mw,Depth,Depth_lo,Depth_hi,dZ_GeoNet,Depth_DCmax,Mo,NS,AzGap,Grade,DC,CLVD,VR,MinStaVR,Jk_n,Jk_Mw_std,Jk_DC_std,Jk_rot_deg,PredDisp_cm,Detectable,Mxx,Mxy,Mxz,Myy,Myz,Mzz,Band,Model,Status,Selection,Code,quality_flag,publish_flag,published
2026p588884,2026-08-06T21:17:31.835Z,-38.0697,178.2771,123.9,40.3,19.3,19.0,77.6,128.7,4.11,25.6,3.7,4.35,26.0,24.0,34.0,0.4,54.0,3.783e+22,3,273.8,C,62.4,37.6,57.6,26.4,0,,,,0.003,False,87.3164,-141.3168,173.3631,-195.0048,-206.486,107.6883,10-50s,nz_north_ristau2008,solved,v5,07d7a4ac-dirty,VR_below_grade_B,grade_C;too_small_no_disp,False
2026p598118,2026-08-10T07:17:28.476Z,-37.3044,177.6297,194.2,29.7,93.7,9.9,60.4,87.9,4.7,12.0,,4.3,46.0,46.0,50.0,34.0,46.0,3.190e+22,7,192.2,B,91.2,8.8,40.2,27.8,7,0.014,10.8,10.1,0.001,False,-24.5434,50.9827,21.2243,-250.1993,-158.4434,274.7427,10-50s,nz_north_ristau2008,solved,v5,07d7a4ac-dirty,True,too_small_no_disp,False
2026p598855,2026-08-10T13:50:16.025Z,-44.1534,169.5259,14.0,44.3,59.6,233.3,53.0,116.3,3.91,5.0,,4.53,4.0,1.0,6.0,-1.0,14.0,6.979e+22,3,333.8,D,76.6,23.4,8.1,-364509.5,0,,,,0.34,False,-114.1029,389.3635,-202.168,-426.7882,-19.1231,540.8911,10-50s,nz_south_ristau2008,solved,v5,07d7a4ac-dirty,VR_below_grade_B,grade_D;too_small_no_disp,False
2026p600722,2026-08-11T06:25:08.204Z,-37.9095,176.8147,66.4,42.4,-96.6,255.4,48.0,-84.0,4.08,5.0,,4.28,4.5,3.5,5.0,-0.5,5.0,2.952e+22,14,143.7,A,93.3,6.7,66.8,43.3,14,0.007,2.4,4.4,0.123,False,261.2807,-94.29,33.6124,21.0129,11.1505,-282.2936,10-50s,nz_north_ristau2008,solved,v5,07d7a4ac,True,too_small_no_disp,False
2026p639238,2026-08-25T12:26:29.984Z,-44.4108,167.9513,71.9,21.5,163.8,177.1,84.1,69.3,4.8,5.0,,4.17,5.0,3.5,7.0,0.0,7.0,2.040e+22,12,212.9,A,98.6,1.4,59.5,34.7,12,0.004,2.2,1.8,0.047,False,6.0494,69.2029,17.6411,-45.1265,185.5259,39.0771,10-50s,nz_south_ristau2008,solved,v5,04f7ee42-dirty,True,too_small_no_disp;aftershock,False
2026p646525,2026-08-28T05:08:52.231Z,-37.7542,178.3237,92.8,87.9,22.8,1.9,67.2,177.8,4.27,40.6,5.7,4.16,58.0,46.0,58.0,17.4,42.0,1.917e+22,3,245.9,D,86.1,13.9,14.5,-7.8,0,,,,0.0,False,17.9676,-169.5028,72.6798,-12.8517,-9.7867,-5.1159,10-50s,nz_north_ristau2008,solved,v5,04f7ee42-dirty,VR_below_grade_B,grade_D;too_small_no_disp,False
2026p660160,2026-09-02T06:13:32.546Z,-44.4418,168.3231,8.7,46.1,52.7,236.4,55.0,122.2,5.47,5.0,,5.08,6.0,6.0,6.0,1.0,5.0,4.605e+23,9,171.6,A,81.5,18.5,71.1,48.2,9,0.007,7.4,5.2,0.924,False,-532.6623,2599.8191,-1599.5121,-2868.3398,-267.7509,3401.0021,10-50s,nz_south_ristau2008,solved,v5,04f7ee42-dirty,True,True,True
2026p660242,2026-09-02T06:57:11.231Z,-44.449,168.3039,4.5,43.1,41.5,241.7,63.1,125.0,5.58,5.0,,5.1,8.0,8.0,8.0,3.0,1.0,5.082e+23,13,172.7,A,80.9,19.1,68.9,37.4,13,0.004,5.2,3.4,0.548,False,-376.2628,2966.4825,-2423.1023,-2773.301,222.9524,3149.5638,20-100s,nz_south_ristau2008,solved,v5,04f7ee42-dirty,True,True,True
2026p660272,2026-09-02T07:12:41.676Z,-44.4526,168.2923,282.2,73.8,-155.3,184.8,66.3,-17.7,4.79,5.0,,4.22,4.0,4.0,4.0,-1.0,3.5,2.408e+22,12,173.5,A,84.1,15.9,60.6,26.0,12,0.007,9.9,8.1,0.068,False,-27.2395,197.9536,83.7104,91.308,-31.295,-64.0684,10-50s,nz_south_ristau2008,solved,v5,04f7ee42-dirty,True,too_small_no_disp;aftershock,False
2026p660321,2026-09-02T07:39:03.476Z,-44.4423,168.3137,100.7,75.5,-157.4,4.7,68.1,-15.7,4.56,5.0,,4.1,4.5,2.0,6.0,-0.5,6.0,1.593e+22,14,172.7,A,76.0,24.0,64.9,37.1,14,0.005,7.8,5.7,0.033,False,-14.6491,132.584,-48.2959,55.9411,16.0997,-41.2921,10-50s,nz_south_ristau2008,solved,v5,04f7ee42-dirty,True,too_small_no_disp;aftershock,False
2026p660370,2026-09-02T08:05:29.181Z,-44.4377,168.2982,202.4,63.9,36.3,94.5,57.9,148.7,3.76,5.0,,3.67,28.0,20.0,54.0,23.0,8.0,3.647e+21,3,184.8,D,88.0,12.0,16.1,-4.9,0,,,,0.0,False,-20.9969,24.7387,5.6981,3.8369,15.3494,17.16,10-50s,nz_south_ristau2008,solved,v5,04f7ee42-dirty,VR_below_grade_B,grade_D;too_small_no_disp;aftershock,False
2026p665433,2026-09-04T05:03:09.001Z,-44.4471,168.2907,117.7,33.5,-104.2,314.5,57.6,-80.8,4.63,5.0,,4.2,3.0,1.5,4.5,-2.0,46.0,2.261e+22,13,174.8,A,84.5,15.5,66.1,35.2,13,0.006,2.4,2.7,0.208,False,129.6742,83.7936,50.0976,72.5484,80.2236,-202.2226,10-50s,nz_south_ristau2008,solved,v5,04f7ee42-dirty,True,too_small_no_disp;aftershock,False
2026p666955,2026-09-04T18:34:01.803Z,-40.7439,174.6843,96.1,28.5,-57.6,240.3,66.2,-106.2,4.93,26.3,6.2,4.67,50.0,46.0,54.0,23.7,2.0,1.117e+23,8,152.2,A,71.8,28.2,70.6,34.6,8,0.003,2.7,2.0,0.003,False,739.0597,-102.7993,502.8927,60.3862,-489.1353,-799.4459,10-50s,nz_south_ristau2008,solved,v5,04f7ee42,True,too_small_no_disp,False
2026p669681,2026-09-05T18:46:10.095Z,-39.2855,173.8984,200.5,75.2,170.2,293.1,80.6,15.0,4.19,8.1,1.8,3.71,7.0,5.0,7.0,-1.1,6.0,4.111e+21,5,249.4,B,96.0,4.0,51.9,34.1,5,0.022,7.4,16.5,0.003,False,24.7116,-28.1653,-11.4229,-28.8411,1.818,4.1295,10-50s,nz_north_ristau2008,solved,v5,d5a89c66,True,too_small_no_disp,False
2026p673716,2026-09-07T06:36:23.598Z,-44.4327,168.2903,13.6,76.4,-6.5,105.1,83.7,-166.3,4.21,5.0,,3.78,8.0,8.0,8.0,3.0,10.0,5.261e+21,4,221.6,C,48.7,51.3,51.6,44.0,4,0.027,22.3,14.9,0.002,False,-26.3104,38.1699,-14.7456,16.5546,5.9002,9.7558,10-50s,nz_south_ristau2008,solved,v5,d5a89c66,low_DC,grade_C;too_small_no_disp;aftershock,False
