PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,GeoNet_M,GeoNet_depth,GeoNet_depth_unc,Mw,Depth,Depth_VRmax,Depth_DCmax,Plateau_km,Mo,NS,AzGap,Grade,DC,CLVD,VR,Jk_n,Jk_Mw_std,Jk_DC_std,Jk_rot_deg,PredDisp_cm,Detectable,Mxx,Mxy,Mxz,Myy,Myz,Mzz,Band,Model,quality_flag,publish_flag,published
2024p011131,2024-01-05T02:51:03.533Z,-43.6738,170.5715,205.2,41.1,-171.5,108.8,84.4,-49.3,3.81,5.0,,3.95,9.0,9.0,54.0,57.0,9.378e+21,3,186.2,D,68.5,31.5,0.6,0,,,,0.006,False,52.1673,-37.6359,-61.6946,-37.5737,-15.2125,-14.5935,10-50s,nz_south_ristau2008,low_VR,grade_D;too_small_no_disp,False
2024p030370,2024-01-12T05:41:19.881Z,-37.7947,179.3483,70.3,44.3,-78.5,234.4,46.8,-101.0,3.92,33.0,,3.75,34.0,34.0,2.5,8.0,4.808e+21,3,340.6,D,25.3,74.7,16.2,0,,,,0.0,False,33.6112,-27.3343,0.7801,-3.7663,-2.3092,-29.845,10-50s,nz_north_ristau2008,low_VR;wide_az_gap,grade_D;too_small_no_disp,False
2024p033541,2024-01-13T09:50:58.876Z,-42.5311,173.1326,242.3,50.2,97.0,51.4,40.3,81.6,4.02,7.1,5.3,3.7,16.0,18.0,42.0,8.0,4.008e+21,4,191.4,C,84.2,15.8,56.1,4,0.008,4.1,7.6,0.001,False,-26.7376,19.6391,-7.2616,-9.3023,0.8989,36.0399,10-50s,nz_south_ristau2008,grade_C,grade_C;too_small_no_disp,False
2024p037148,2024-01-14T17:52:29.022Z,-47.3891,165.6348,35.6,57.5,106.7,186.4,36.1,65.8,4.35,33.0,,4.33,28.0,30.0,2.0,12.0,3.508e+22,3,341.6,D,34.4,65.6,23.2,0,,,,0.004,False,53.7286,162.2956,69.4408,-261.1117,-87.9468,207.383,10-50s,nz_south_ristau2008,low_VR;wide_az_gap,grade_D;too_small_no_disp,False
2024p051849,2024-01-20T04:25:34.810Z,-41.4954,174.4641,311.5,40.2,-144.9,193.3,68.2,-55.3,4.72,5.0,,4.42,50.0,50.0,10.0,4.0,4.775e+22,6,223.3,D,45.8,54.2,18.5,6,0.013,6.6,4.6,0.001,False,-9.9926,139.8598,228.4321,254.8599,-220.7959,-244.8673,10-50s,nz_south_ristau2008,low_VR,grade_D;too_small_no_disp,False
2024p054992,2024-01-21T08:19:59.482Z,-43.9896,169.0865,265.3,68.7,149.9,7.2,62.2,24.3,3.71,5.0,,3.74,34.0,34.0,3.0,46.0,4.555e+21,3,160.5,D,83.6,16.4,9.8,0,,,,0.0,False,-7.811,35.0174,-18.7782,-5.2303,-14.5096,13.0413,10-50s,nz_south_ristau2008,low_VR,grade_D;too_small_no_disp,False
2024p055884,2024-01-21T16:15:00.547Z,-45.0531,170.4025,24.6,69.4,-67.4,154.8,30.3,-135.6,3.86,5.0,,3.84,50.0,42.0,14.0,8.0,6.559e+21,3,176.1,D,41.0,59.0,23.8,0,,,,0.0,False,-22.9619,-6.4583,-13.655,51.1016,34.8446,-28.1397,10-50s,nz_south_ristau2008,low_VR,grade_D;too_small_no_disp,False
2024p063773,2024-01-24T14:18:38.005Z,-40.2901,176.3732,160.4,89.9,-72.6,250.7,17.4,-179.7,5.21,10.5,4.3,5.1,7.0,8.0,1.0,1.0,4.951e+23,7,138.4,B,25.4,74.6,65.0,7,0.016,3.6,17.7,0.515,False,2076.827,137.4445,-544.714,-1388.0383,-3887.0942,-688.7887,10-50s,nz_north_ristau2008,True,True,False
2024p063795,2024-01-24T14:30:11.910Z,-40.2919,176.3592,346.5,72.8,111.5,113.4,27.3,40.2,4.03,10.0,4.4,3.87,2.5,2.5,54.0,0.5,7.224e+21,3,255.9,D,83.5,16.5,25.6,0,,,,0.082,False,-16.8912,-27.3238,-2.3375,-21.3785,-54.4835,38.2697,10-50s,nz_north_ristau2008,low_VR,grade_D;too_small_no_disp,False
2024p064553,2024-01-24T21:14:15.224Z,-40.2963,176.3666,345.5,58.6,-158.4,243.8,71.7,-33.3,3.8,9.1,3.6,4.03,38.0,46.0,4.0,16.0,1.264e+22,3,176.7,C,79.4,20.6,57.3,0,,,,0.0,False,-41.6454,-77.0957,53.8564,86.7634,-0.8825,-45.1181,10-50s,nz_north_ristau2008,grade_C,grade_C;too_small_no_disp,False
