PublicID,Date,GeoNet_M,Mw,Depth,Grade,VR,DC,NS,PredDisp_cm,Why_not,Tags,Selection
2021p001797,2021-01-01T15:57:51.559Z,4.24,4.33,46.0,D,20.7,28.7,3,0.001,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': False} | Mw 4.33 < 5.0 and predicted displacement 0.00 cm < 1 cm",grade_D;too_small_no_disp,v3
2021p009528,2021-01-04T12:36:55.648Z,3.94,4.29,1.0,B,60.1,97.9,4,2.13,passed all publication gates,,v3
2021p011199,2021-01-05T03:26:56.049Z,3.9,4.49,38.0,D,12.2,7.2,3,0.001,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': False} | Mw 4.49 < 5.0 and predicted displacement 0.00 cm < 1 cm",grade_D;too_small_no_disp,v3
2021p015269,2021-01-06T15:35:41.419Z,3.9,3.79,42.0,D,44.1,90.4,5,0.0,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': True} | Mw 3.79 < 5.0 and predicted displacement 0.00 cm < 1 cm",grade_D;too_small_no_disp,v3
2021p025233,2021-01-10T08:04:25.939Z,3.89,4.29,46.0,D,21.6,88.1,3,0.001,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': True} | Mw 4.29 < 5.0 and predicted displacement 0.00 cm < 1 cm",grade_D;too_small_no_disp,v3
2021p030895,2021-01-12T10:21:18.942Z,4.1,4.3,18.0,D,9.8,83.9,3,0.004,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': False} | Mw 4.30 < 5.0 and predicted displacement 0.00 cm < 1 cm",grade_D;too_small_no_disp,v3
2021p031851,2021-01-12T18:50:38.099Z,3.73,4.23,5.0,D,12.6,74.8,3,0.077,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': False} | Mw 4.23 < 5.0 and predicted displacement 0.08 cm < 1 cm",grade_D;too_small_no_disp,v3
2021p034417,2021-01-13T17:37:27.514Z,4.59,5.57,58.0,D,33.7,37.5,3,0.053,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': False}",grade_D,v3
2021p055614,2021-01-21T13:51:19.807Z,4.98,5.66,58.0,D,14.4,19.8,3,0.077,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': False}",grade_D,v3
2021p056197,2021-01-21T19:02:06.432Z,4.31,4.11,54.0,D,15.4,48.3,3,0.0,"quality grade D (email requires A or B): {'min_stations': True, 'vr_floor': False, 'az_gap_ok': False} | Mw 4.11 < 5.0 and predicted displacement 0.00 cm < 1 cm",grade_D;too_small_no_disp,v3
