PublicID,Date,Station,Distance_km,Azimuth,Sector,SNR_Z,SNR_R,SNR_T,SNR_med,Amp_ratio,Window_s,Used,Reason_class,Reason,Station_VR,Shift_s,Band,Depth,Mw,VR,Grade,Selection
2021p001797,2021-01-01,NZ.BFZ,114.6,65.8,,,,,,0.885,75,True,,,-222.45274515347134,8.0,10-50s,46.0,4.33,20.7,D,
2021p001797,2021-01-01,NZ.MRZ.10,69.1,,,,,,,,,False,other,distance < 3x source depth,,,10-50s,46.0,4.33,20.7,D,
2021p001797,2021-01-01,NZ.NNZ.10,,,,,,,,,,False,other,not predicted by core solution: station VR -89 at 46 km < 20 (peak/noise 4.7),,,10-50s,46.0,4.33,20.7,D,
2021p001797,2021-01-01,NZ.TSZ,141.7,34.9,,,,,,0.62,86,True,,,29.951376003655415,-11.0,10-50s,46.0,4.33,20.7,D,
2021p001797,2021-01-01,NZ.WAZ,150.4,359.2,,,,,,1.219,90,True,,,-34.58440976445816,2.0,10-50s,46.0,4.33,20.7,D,
2021p001797,2021-01-01,NZ.WEL.10,28.1,,,,,,,,,False,other,distance < 3x source depth,,,10-50s,46.0,4.33,20.7,D,
2021p009528,2021-01-04,NZ.DSZ.10,,,,,,,,,,False,other,not predicted by core solution: station VR 3 at 22 km < 30 (peak/noise 3.9),,,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.GVZ.10,,,,,,,,,,False,other,test-drop improved joint fit: VR 40 -> 45 at 22 km,,,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.INZ,192.6,254.2,,,,,,1.123,107,True,,,65.09456255003457,3.0,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.KHZ,20.8,221.7,,,,,,0.47,38,True,,,51.78922648986571,2.0,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.LTZ,130.7,244.1,,,,,,1.021,82,True,,,65.17625768937475,4.0,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.MQZ.10,,,,,,,,,,False,other,test-drop improved joint fit: VR 37 -> 40 at 22 km,,,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.NNZ,120.7,346.8,,,,,,0.769,78,True,,,59.20384681359955,4.0,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.OXZ.10,,,,,,,,,,False,other,test-drop improved joint fit: VR 33 -> 37 at 22 km,,,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.QRZ.10,,,,,,,,,,False,other,anti-fitting: station VR -3 at 22 km,,,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.THZ.10,,,,,,,,,,False,other,not predicted by core solution: station VR 6 at 22 km < 30 (peak/noise 3.6),,,10-50s,1.0,4.29,60.1,B,
2021p009528,2021-01-04,NZ.WEL.10,,,,,,,,,,False,other,anti-fitting: station VR -4 at 22 km,,,10-50s,1.0,4.29,60.1,B,
2021p011199,2021-01-05,NZ.HAZ.10,,,,,,,,,,False,other,anti-fitting: station VR -26 at 38 km,,,10-50s,38.0,4.49,12.2,D,
2021p011199,2021-01-05,NZ.KNZ,216.1,221.6,,,,,,0.949,116,True,,,7.114277205390717,20.0,10-50s,38.0,4.49,12.2,D,
2021p011199,2021-01-05,NZ.MWZ.10,,,,,,,,,,False,other,not predicted by core solution: station VR 21 at 38 km < 30 (peak/noise 4.6),,,10-50s,38.0,4.49,12.2,D,
2021p011199,2021-01-05,NZ.MXZ.10,,,,,,,,,,False,other,anti-fitting: station VR -6 at 38 km,,,10-50s,38.0,4.49,12.2,D,
